epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9681,3.33664,78.5794,0.88137,1e-05,0.00335,1e-05,0,3.9724,37.6829,0.96529,0.000649123,0.000649123,0.000649123
2,29.6193,4.06285,44.577,0.97221,0.00017,0.05193,0.0001,2e-05,4.47979,13.6185,1.05416,0.00128974,0.00128974,0.00128974
3,43.5957,4.322,33.0842,1.05121,0.10714,0.02178,0.01253,0.00234,3.91081,8.67284,0.97075,0.00190395,0.00190395,0.00190395
4,56.9896,3.95341,27.1315,1.03258,0.29211,0.02345,0.01499,0.00369,3.64358,8.44211,0.94722,0.0018812,0.0018812,0.0018812
5,74.8413,3.96387,17.5495,0.98121,0.09463,0.02345,0.00867,0.00176,3.94517,7.28907,0.98007,0.0018416,0.0018416,0.0018416
6,85.9018,4.05799,12.5849,1.00011,0.1566,0.0938,0.03413,0.00837,3.35016,4.99173,0.90668,0.001802,0.001802,0.001802
7,100.751,3.93925,10.5849,0.95615,0.11117,0.03518,0.01139,0.00237,3.70078,2.54312,0.92285,0.0017624,0.0017624,0.0017624
8,111.18,3.87737,7.98649,0.95021,0.20602,0.0469,0.0226,0.00557,3.46596,2.24032,0.90518,0.0017228,0.0017228,0.0017228
9,125.754,3.91937,5.97236,0.99972,0.10837,0.04355,0.01469,0.00297,3.63971,2.1503,0.89894,0.0016832,0.0016832,0.0016832
10,138.083,4.10107,5.61562,1.00218,0.19877,0.0802,0.02949,0.00701,3.59622,2.17644,0.91706,0.0016436,0.0016436,0.0016436
11,153.858,4.00408,4.93511,0.94471,0.16001,0.07035,0.02778,0.00762,3.43682,2.30661,0.88929,0.001604,0.001604,0.001604
12,166.789,3.83042,4.34208,0.9352,0.1686,0.1072,0.0407,0.01038,3.3521,2.11311,0.88715,0.0015644,0.0015644,0.0015644
13,176.246,3.63438,4.02025,0.89574,0.15621,0.09883,0.03393,0.00764,3.62346,2.29422,0.88718,0.0015248,0.0015248,0.0015248
14,188.909,3.50925,3.66722,0.88958,0.23678,0.09715,0.06611,0.01363,3.3612,1.96458,0.86914,0.0014852,0.0014852,0.0014852
15,199.215,3.60559,3.68466,0.92779,0.22094,0.09929,0.05146,0.01484,3.0571,2.0583,0.87212,0.0014456,0.0014456,0.0014456
16,212.456,3.62082,3.38836,0.92639,0.12981,0.0737,0.02949,0.00699,3.76791,2.13804,0.89426,0.001406,0.001406,0.001406
17,223.039,3.63036,3.27944,0.96165,0.17809,0.08375,0.04625,0.01056,3.42293,2.15703,0.90098,0.0013664,0.0013664,0.0013664
18,235.2,3.49202,3.2383,0.86148,0.18642,0.11558,0.05503,0.01755,3.29766,1.9569,0.8698,0.0013268,0.0013268,0.0013268
19,247.953,3.81559,3.30202,0.9206,0.22324,0.13233,0.06771,0.0179,3.22607,2.04676,0.87114,0.0012872,0.0012872,0.0012872
20,258.625,3.50943,2.96479,0.88856,0.19647,0.1407,0.06413,0.02019,3.13325,2.00292,0.86745,0.0012476,0.0012476,0.0012476
21,271.189,3.45728,2.86032,0.92216,0.17689,0.12563,0.05673,0.01413,3.33672,2.08704,0.87626,0.001208,0.001208,0.001208
22,283.863,3.56307,2.86919,0.91204,0.25287,0.11509,0.07878,0.02223,3.11228,1.94967,0.88116,0.0011684,0.0011684,0.0011684
23,293.955,3.43658,2.90514,0.88805,0.2241,0.13903,0.07393,0.01981,3.15154,2.03924,0.87015,0.0011288,0.0011288,0.0011288
24,307.024,3.39892,2.55199,0.88926,0.22094,0.14405,0.06983,0.02125,3.2329,1.91682,0.86324,0.0010892,0.0010892,0.0010892
25,317.04,3.23361,2.44556,0.8319,0.19807,0.15075,0.07475,0.02289,3.08394,1.95002,0.8591,0.0010496,0.0010496,0.0010496
26,330.939,3.37972,2.63436,0.87211,0.2213,0.15578,0.0794,0.02411,3.06592,1.87759,0.85489,0.00101,0.00101,0.00101
27,343.151,3.3948,2.65036,0.82715,0.23778,0.13903,0.08385,0.02921,2.90483,1.91398,0.85581,0.0009704,0.0009704,0.0009704
28,352.741,3.23119,2.40108,0.88013,0.23797,0.14228,0.09123,0.02401,3.10412,1.94137,0.85323,0.0009308,0.0009308,0.0009308
29,365.204,3.34936,2.52938,0.90279,0.24299,0.16248,0.08811,0.02742,3.01378,1.85411,0.8492,0.0008912,0.0008912,0.0008912
30,375.7,3.24215,2.36406,0.85459,0.235,0.16583,0.08552,0.02332,3.12788,1.83156,0.85108,0.0008516,0.0008516,0.0008516
31,388.491,3.11529,2.24561,0.88739,0.25324,0.16918,0.08884,0.02935,2.8682,1.77267,0.84917,0.000812,0.000812,0.000812
32,400.979,3.30482,2.33156,0.8699,0.25021,0.15745,0.08799,0.02192,3.07874,1.80166,0.85688,0.0007724,0.0007724,0.0007724
33,410.591,3.15987,2.49473,0.88654,0.29054,0.18928,0.09942,0.03245,2.87402,1.74711,0.85606,0.0007328,0.0007328,0.0007328
34,424.529,3.13064,2.27842,0.85859,0.23312,0.17923,0.09268,0.02987,2.87794,1.80405,0.85217,0.0006932,0.0006932,0.0006932
35,435.197,3.12482,2.41492,0.82988,0.25742,0.20268,0.114,0.04038,2.79146,1.7597,0.83607,0.0006536,0.0006536,0.0006536
36,447.618,3.09364,2.22952,0.83677,0.25552,0.18593,0.11092,0.03969,2.78062,1.73605,0.84197,0.000614,0.000614,0.000614
37,460.297,2.98976,2.08498,0.84249,0.25237,0.19095,0.11236,0.04003,2.68885,1.72467,0.83876,0.0005744,0.0005744,0.0005744
38,470.335,3.02797,2.2029,0.83162,0.29184,0.21608,0.1231,0.04273,2.69642,1.67968,0.83665,0.0005348,0.0005348,0.0005348
39,483.796,3.12954,2.16544,0.87314,0.28366,0.22111,0.12521,0.04264,2.74242,1.65454,0.83493,0.0004952,0.0004952,0.0004952
40,494.158,3.1935,2.2141,0.83404,0.24842,0.1943,0.10503,0.03524,2.83466,1.71124,0.84326,0.0004556,0.0004556,0.0004556
41,510.147,3.05472,2.31246,0.82062,0.2912,0.19263,0.11832,0.04322,2.73444,1.66447,0.83155,0.000416,0.000416,0.000416
42,520.748,3.14228,2.28545,0.8276,0.29508,0.19933,0.12301,0.04434,2.75854,1.66358,0.83233,0.0003764,0.0003764,0.0003764
43,534.023,2.92683,2.34444,0.84345,0.28294,0.19765,0.12346,0.04515,2.64981,1.67186,0.82714,0.0003368,0.0003368,0.0003368
44,546.707,2.88653,2.09184,0.83794,0.28928,0.20795,0.13468,0.04836,2.66619,1.65316,0.83142,0.0002972,0.0002972,0.0002972
45,556.646,2.85912,2.21322,0.83761,0.27311,0.21106,0.13239,0.04829,2.61821,1.62249,0.83721,0.0002576,0.0002576,0.0002576
46,569.379,2.75113,2.11597,0.8598,0.2789,0.21273,0.1341,0.05211,2.58247,1.60124,0.83177,0.000218,0.000218,0.000218
47,579.385,2.70395,2.02047,0.81882,0.30497,0.21608,0.14091,0.05294,2.588,1.60374,0.82878,0.0001784,0.0001784,0.0001784
48,591.616,2.7458,2.00949,0.83587,0.31927,0.20436,0.14164,0.05467,2.54074,1.57786,0.82924,0.0001388,0.0001388,0.0001388
49,605.013,2.72418,1.92164,0.84117,0.29469,0.21608,0.14214,0.05308,2.56051,1.58319,0.82831,9.92e-05,9.92e-05,9.92e-05
50,616.313,2.83063,2.00372,0.83633,0.30572,0.22278,0.14512,0.05422,2.53472,1.58028,0.8287,5.96e-05,5.96e-05,5.96e-05
