epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5459,3.36753,281.463,0.89654,0.02284,0.02194,0.00136,0.00032,4.54081,5.28562,1.02908,0.000653061,0.000653061,0.000653061
2,31.72,4.2891,6.66565,0.97629,0.00095,0.00258,0.0008,0.00044,4.2239,5.31828,0.98221,0.00131102,0.00131102,0.00131102
3,46.3142,4.48964,3.41659,0.99207,0.01395,0.02194,0.00227,0.00049,4.14449,10.6653,0.93368,0.00196017,0.00196017,0.00196017
4,59.6067,4.2821,2.99088,0.933,0,0,0,0,0.17892,0.42672,0.1366,0.0019604,0.0019604,0.0019604
5,74.5575,4.14519,2.66908,0.95102,0.09535,0.03226,0.01513,0.00251,4.25625,2.27433,0.97811,0.0019472,0.0019472,0.0019472
6,88.1518,4.38176,2.5636,0.97192,0.11651,0.04903,0.01989,0.00365,4.01802,2.26698,0.94294,0.001934,0.001934,0.001934
7,103.087,4.1923,2.55343,0.90862,0.12522,0.07226,0.0348,0.00851,3.66186,2.21185,0.92242,0.0019208,0.0019208,0.0019208
8,116.467,3.72964,2.48411,0.91889,0.08939,0.04206,0.01694,0.00411,3.77523,2.28597,0.91248,0.0019076,0.0019076,0.0019076
9,130.831,3.79508,2.41914,1.00376,0.12712,0.05548,0.02482,0.00792,3.71204,2.33718,0.9364,0.0018944,0.0018944,0.0018944
10,144.111,3.76277,2.45884,0.93495,0.20479,0.08774,0.04518,0.01182,3.50416,2.0449,0.9075,0.0018812,0.0018812,0.0018812
11,158.428,3.75789,2.41196,0.93361,0.25726,0.07017,0.05568,0.01506,3.60146,2.05508,0.90085,0.001868,0.001868,0.001868
12,171.808,3.671,2.29507,0.9373,0.20489,0.10452,0.04759,0.01075,3.45829,2.22563,0.92437,0.0018548,0.0018548,0.0018548
13,185.878,3.6316,2.36195,0.92678,0.22975,0.09548,0.04847,0.0117,3.41282,2.00249,0.90805,0.0018416,0.0018416,0.0018416
14,200.458,3.77307,2.37865,0.91375,0.15163,0.08,0.03142,0.00637,3.65236,2.08769,0.95706,0.0018284,0.0018284,0.0018284
15,213.737,3.6466,2.47807,0.9286,0.23614,0.09419,0.05874,0.0159,3.36975,1.98734,0.90276,0.0018152,0.0018152,0.0018152
16,228.87,3.48368,2.15781,0.87538,0.1959,0.10839,0.06262,0.0186,3.28437,1.92369,0.91879,0.001802,0.001802,0.001802
17,242.444,3.54797,2.3641,0.91693,0.21718,0.09677,0.05403,0.01213,3.45337,1.95684,0.90593,0.0017888,0.0017888,0.0017888
18,256.437,3.69572,2.29781,0.91014,0.16681,0.03613,0.023,0.00672,3.25978,1.86108,0.97233,0.0017756,0.0017756,0.0017756
19,269.911,3.48153,2.14196,0.88177,0.2162,0.13935,0.06733,0.0211,3.17681,1.88739,0.87445,0.0017624,0.0017624,0.0017624
20,284.056,3.5128,2.31427,0.91334,0.2775,0.03097,0.02779,0.00868,2.96348,1.57557,0.71837,0.0017492,0.0017492,0.0017492
21,297.841,3.29659,2.15718,0.87329,0.20058,0.11742,0.06229,0.0184,3.14043,1.8866,0.88794,0.001736,0.001736,0.001736
22,312.827,3.37422,2.18729,0.89443,0.19937,0.14194,0.06619,0.01766,3.23617,1.99458,0.87534,0.0017228,0.0017228,0.0017228
23,325.843,3.4774,2.19502,0.88594,0.24955,0.12258,0.07408,0.02217,3.05503,1.81764,0.86711,0.0017096,0.0017096,0.0017096
24,340.546,3.43161,2.0755,0.9108,0.223,0.13548,0.07283,0.01989,3.24335,1.78451,0.90842,0.0016964,0.0016964,0.0016964
25,355.201,3.44352,2.16421,0.91093,0.23962,0.11711,0.06956,0.01799,3.11483,1.88627,0.88278,0.0016832,0.0016832,0.0016832
26,368.553,3.37765,2.14306,0.8672,0.1917,0.0929,0.05509,0.01629,3.43745,1.87846,0.88498,0.00167,0.00167,0.00167
27,383.77,3.45013,2.09481,0.92336,0.24673,0.16,0.09391,0.03039,2.90344,1.74088,0.86596,0.0016568,0.0016568,0.0016568
