epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9966,1.19817,3.51179,1.00496,0.93647,0.9397,0.96948,0.66482,0.89392,1.92628,0.9257,0.000649123,0.000649123,0.000649123
2,26.8757,0.98082,0.83426,0.93329,0.25227,0.8392,0.28835,0.20682,0.97944,3.08032,0.95777,0.00128974,0.00128974,0.00128974
3,39.0271,1.00811,0.72976,0.93135,0.90613,0.94807,0.96001,0.69072,0.92077,2.615,0.97515,0.00190395,0.00190395,0.00190395
4,50.8543,0.94313,0.66883,0.94775,0.94766,0.9866,0.98857,0.74794,0.85683,0.80291,0.94248,0.0018812,0.0018812,0.0018812
5,58.8608,0.85154,0.59419,0.91359,0.96768,0.99665,0.99126,0.76562,0.78467,0.55517,0.92322,0.0018416,0.0018416,0.0018416
6,70.1563,0.8489,0.58174,0.92221,0.98923,0.98995,0.9947,0.81337,0.71577,0.59551,0.898,0.001802,0.001802,0.001802
7,80.9239,0.79722,0.54593,0.90939,0.98999,0.99353,0.99457,0.81975,0.67572,0.49637,0.88773,0.0017624,0.0017624,0.0017624
8,92.8062,0.79927,0.53475,0.90747,0.97387,0.96985,0.99246,0.82357,0.65524,0.51241,0.89169,0.0017228,0.0017228,0.0017228
9,107.073,0.75888,0.50269,0.89531,0.99628,0.99832,0.99497,0.84057,0.6366,0.46106,0.88579,0.0016832,0.0016832,0.0016832
10,119.004,0.7346,0.49192,0.90063,0.98763,0.99497,0.99459,0.86571,0.57973,0.42742,0.86584,0.0016436,0.0016436,0.0016436
11,131.556,0.73312,0.4843,0.88907,0.97886,0.99665,0.99422,0.86193,0.5959,0.43291,0.87446,0.001604,0.001604,0.001604
12,143.92,0.68557,0.46391,0.8711,0.9978,0.99832,0.995,0.86244,0.54555,0.39264,0.85797,0.0015644,0.0015644,0.0015644
13,154.37,0.63575,0.44215,0.86448,0.9925,1,0.99497,0.8662,0.56794,0.40011,0.85341,0.0015248,0.0015248,0.0015248
14,166.682,0.70442,0.4729,0.88622,0.9998,0.99832,0.995,0.85077,0.58102,0.41451,0.86269,0.0014852,0.0014852,0.0014852
15,176.906,0.65989,0.45429,0.87153,0.99061,0.99162,0.99493,0.88343,0.53977,0.3813,0.85206,0.0014456,0.0014456,0.0014456
16,190.453,0.60365,0.42515,0.85364,0.99937,1,0.995,0.89642,0.48704,0.35135,0.84185,0.001406,0.001406,0.001406
17,202.254,0.65187,0.43578,0.86156,0.99618,0.99832,0.99492,0.88736,0.53067,0.37931,0.85159,0.0013664,0.0013664,0.0013664
18,212.798,0.64459,0.41867,0.86273,0.99466,0.99832,0.9948,0.88782,0.53447,0.37227,0.85065,0.0013268,0.0013268,0.0013268
19,225.238,0.62497,0.40808,0.85687,0.99938,0.99665,0.995,0.88755,0.52513,0.36195,0.84784,0.0012872,0.0012872,0.0012872
20,234.454,0.60419,0.39701,0.85238,0.99784,0.99665,0.995,0.89967,0.48525,0.34547,0.84366,0.0012476,0.0012476,0.0012476
21,246.397,0.58528,0.39698,0.84802,0.99976,0.99832,0.995,0.9045,0.48195,0.35286,0.84451,0.001208,0.001208,0.001208
22,260.031,0.55628,0.37798,0.84849,0.99986,0.99832,0.995,0.90793,0.46908,0.33414,0.84089,0.0011684,0.0011684,0.0011684
23,270.755,0.5678,0.37734,0.85157,0.99943,1,0.995,0.90468,0.45332,0.31565,0.8321,0.0011288,0.0011288,0.0011288
24,284.121,0.56143,0.37474,0.85738,0.99761,0.99832,0.99498,0.89052,0.4906,0.33554,0.84413,0.0010892,0.0010892,0.0010892
25,294.547,0.56633,0.38311,0.84753,0.99665,0.9981,0.99497,0.91389,0.45749,0.31586,0.83838,0.0010496,0.0010496,0.0010496
